epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,321.792,1.27732,1.80781,0.84815,0.96748,0.86872,0.74333,0.81523,0.53476,0.48265,0.53014,0.42986,0.25149,1.2244,1.15017,0.81893,0.97386,0.000253024,0.000253024,0.000253024
69,327.126,1.22588,1.66215,0.81923,0.96321,0.84743,0.75581,0.83206,0.53295,0.50021,0.54349,0.43827,0.25443,1.19004,1.15451,0.80049,0.98773,0.000239766,0.000239766,0.000239766
70,331.645,1.22063,1.69956,0.82953,0.96019,0.90381,0.70892,0.82139,0.51871,0.49003,0.53246,0.43432,0.24516,1.20286,1.18815,0.80542,0.99093,0.000226769,0.000226769,0.000226769
71,336.952,1.253,1.79497,0.82731,0.96672,0.86452,0.72868,0.82102,0.5313,0.47718,0.52149,0.41927,0.22804,1.16769,1.23129,0.7979,0.97407,0.000214046,0.000214046,0.000214046
72,342.21,1.18995,1.69135,0.81806,0.98184,0.89168,0.71704,0.82184,0.54724,0.49559,0.52315,0.42759,0.23255,1.16154,1.22311,0.80017,0.96749,0.000201611,0.000201611,0.000201611
73,347.387,1.24379,1.75994,0.83784,0.97346,0.90577,0.72983,0.82053,0.54084,0.50046,0.55244,0.44025,0.244,1.10619,1.16077,0.77292,0.95303,0.000189475,0.000189475,0.000189475
74,351.968,1.24784,1.72134,0.82272,0.95536,0.91274,0.73225,0.82292,0.54551,0.49386,0.54801,0.43707,0.25797,1.09542,1.13186,0.77592,0.95005,0.000177651,0.000177651,0.000177651
75,356.672,1.17887,1.59919,0.79364,0.95406,0.89958,0.73275,0.81882,0.53251,0.49102,0.55097,0.43763,0.25845,1.14536,1.125,0.78184,0.95874,0.000166149,0.000166149,0.000166149
76,362.474,1.16378,1.67243,0.79593,0.95433,0.91503,0.72851,0.82865,0.54014,0.55727,0.48439,0.44079,0.25569,1.14265,1.12604,0.77679,0.9598,0.000154982,0.000154982,0.000154982
77,367.04,1.195,1.7082,0.79918,0.95496,0.88258,0.72723,0.82357,0.55512,0.48503,0.57359,0.45059,0.25127,1.06323,1.14708,0.76134,0.95438,0.000144161,0.000144161,0.000144161
