epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,52.8469,0.93381,0.86555,0.92638,0.98153,0.44957,0.87757,0.61384,0.96923,1.9127,0.85843,0.0108687,0.000868715,0.000868715
14,56.5616,0.98357,0.81048,0.92979,0.99433,0.48276,0.90288,0.62245,0.94252,1.54751,0.84965,0.00393051,0.00093051,0.00093051
15,60.2468,0.9026,0.77181,0.91826,0.96449,0.46552,0.83548,0.54758,0.93967,1.38998,0.85499,0.000952889,0.000952889,0.000952889
16,64.4654,0.9142,0.76792,0.90336,0.93695,0.39655,0.76786,0.50339,1.00333,1.62774,0.88192,0.000946048,0.000946048,0.000946048
17,68.1671,0.89272,0.76902,0.91042,0.95456,0.37931,0.79616,0.55229,0.92229,1.61943,0.86679,0.000938772,0.000938772,0.000938772
18,71.8423,0.88172,0.72083,0.90929,0.97951,0.48276,0.89637,0.64923,0.88273,1.19388,0.90056,0.000931067,0.000931067,0.000931067
19,75.6378,0.94026,0.75973,0.91779,0.65153,0.75922,0.91509,0.64117,0.94878,0.98155,0.88706,0.000922942,0.000922942,0.000922942
20,79.3149,0.86765,0.72968,0.90781,0.8087,0.78365,0.92376,0.67251,0.81473,0.87532,0.85078,0.000914405,0.000914405,0.000914405
21,83.0156,0.8632,0.69767,0.92766,0.82542,0.84406,0.92486,0.63635,0.8847,0.84044,0.84705,0.000905463,0.000905463,0.000905463
22,86.7838,0.88305,0.72465,0.95477,0.8021,0.87165,0.9093,0.61784,0.89138,0.77791,0.84045,0.000896127,0.000896127,0.000896127
23,90.5168,0.83847,0.70015,0.8989,0.8378,0.86227,0.92012,0.67194,0.77494,0.70957,0.83959,0.000886404,0.000886404,0.000886404
24,94.3152,0.82531,0.68189,0.91384,0.81985,0.87835,0.87996,0.64236,0.78671,0.71443,0.822,0.000876305,0.000876305,0.000876305
25,98.6281,0.77881,0.68147,0.90565,0.80072,0.87165,0.86502,0.6343,0.7694,0.70434,0.82069,0.000865839,0.000865839,0.000865839
26,102.354,0.75184,0.61774,0.87724,0.80038,0.89017,0.89311,0.64327,0.72589,0.70392,0.82764,0.000855018,0.000855018,0.000855018
27,106.096,0.75788,0.63643,0.89161,0.7774,0.89017,0.91856,0.69286,0.72511,0.84105,0.84132,0.000843851,0.000843851,0.000843851
28,109.971,0.75231,0.65603,0.87921,0.88175,0.89017,0.92954,0.66901,0.79227,0.64031,0.85926,0.000832349,0.000832349,0.000832349
29,114.431,0.75495,0.61911,0.89462,0.83894,0.9272,0.92334,0.69212,0.78373,0.65154,0.85944,0.000820525,0.000820525,0.000820525
30,118.978,0.70811,0.60986,0.89931,0.87614,0.90868,0.93104,0.68015,0.75568,0.64881,0.8504,0.000808389,0.000808389,0.000808389
31,122.813,0.7196,0.58684,0.88016,0.94656,0.90868,0.94219,0.70576,0.76995,0.64441,0.84071,0.000795954,0.000795954,0.000795954
32,126.61,0.70273,0.57045,0.89381,0.89791,0.93408,0.93996,0.72352,0.7512,0.68439,0.8403,0.000783231,0.000783231,0.000783231
33,131.057,0.73185,0.60905,0.88315,0.93054,0.93895,0.94439,0.71911,0.74473,0.68948,0.83658,0.000770234,0.000770234,0.000770234
34,134.954,0.71856,0.60829,0.8982,0.94461,0.88364,0.94563,0.688,0.78048,0.66048,0.83441,0.000756976,0.000756976,0.000756976
35,138.756,0.71457,0.59969,0.88764,0.94373,0.90868,0.94634,0.705,0.77361,0.66152,0.83092,0.000743468,0.000743468,0.000743468
36,142.592,0.69535,0.56423,0.8557,0.95191,0.90868,0.94384,0.71871,0.7152,0.62047,0.81452,0.000729725,0.000729725,0.000729725
37,147.084,0.66174,0.55197,0.86718,0.9019,0.90868,0.92317,0.68728,0.70843,0.608,0.8116,0.000715761,0.000715761,0.000715761
38,150.914,0.70919,0.55471,0.88266,0.94,0.92596,0.95126,0.70274,0.74084,0.59638,0.80749,0.000701588,0.000701588,0.000701588
39,154.605,0.65703,0.54135,0.85983,0.87626,0.89899,0.91489,0.67785,0.74163,0.57754,0.81479,0.000687222,0.000687222,0.000687222
40,158.445,0.62702,0.52058,0.84501,0.93091,0.96424,0.93824,0.70637,0.74284,0.56663,0.82387,0.000672675,0.000672675,0.000672675
41,162.764,0.60952,0.52829,0.8491,0.88108,0.96014,0.93651,0.72452,0.73621,0.58095,0.82743,0.000657963,0.000657963,0.000657963
42,166.534,0.6365,0.5169,0.86592,0.9382,0.90868,0.94854,0.68682,0.74045,0.58701,0.82705,0.000643101,0.000643101,0.000643101
43,170.307,0.68863,0.53916,0.87259,0.8936,0.94572,0.95043,0.69098,0.76182,0.58751,0.82919,0.000628101,0.000628101,0.000628101
44,174.864,0.63611,0.50718,0.86798,0.89711,0.95794,0.9499,0.73156,0.68157,0.58572,0.81812,0.000612981,0.000612981,0.000612981
45,178.632,0.64121,0.55713,0.88414,0.91652,0.95802,0.9541,0.73145,0.68736,0.57851,0.80512,0.000597754,0.000597754,0.000597754
46,182.463,0.66552,0.5365,0.881,0.91578,0.94572,0.95487,0.74951,0.65883,0.55203,0.7905,0.000582435,0.000582435,0.000582435
